# Expected energy spectrum of the background sources
# candidate interactions in the detectors of Experimental Hall 1 (EH1) 
# 
# The three data taking periods are provided separately.
#
# Emin:        Lower bin edge in prompt reconstructed energy [MeV]
# Emax:        Upper bin edge in prompt reconstructed energy [MeV]
# Ec:          Center of bin in prompt reconstructed energy [MeV]
# Nbkg:        Estimated background in the given energy bin
# Nacc:        Estimated number of accidental events in the given energy bin
# Nalphan:     Estimated number of Alpha-N events in the given energy bin
# Namc:        Estimated number of AmC events in the given energy bin
# Nlihe:       Estimated number of 8Li/9He events in the given energy bin
# Nfastn:      Estimated number of fast neutron events in the given energy bin

# Estimated number = Background rate in the given bin * DAQ time * muon veto efficiency * multiplicity cut efficiency

# Six-ADs period:
# Emin	Emax	Ec	Nbkg	Nacc	Nalphan	Namc	Nlihe	Nfastn
0.70	1.30	1.00	1597.85	1527.36	4.10	44.46	11.11	10.82	
1.30	1.55	1.43	445.70	418.76	2.37	10.65	9.33	4.60	
1.55	1.80	1.68	327.54	300.76	2.03	7.78	12.33	4.64	
1.80	2.05	1.93	194.23	167.15	1.59	5.68	15.12	4.69	
2.05	2.30	2.17	118.43	90.36	1.16	4.15	18.04	4.73	
2.30	2.55	2.42	120.93	92.07	0.81	3.03	20.25	4.77	
2.55	2.80	2.67	165.68	135.06	0.55	2.21	23.05	4.81	
2.80	3.05	2.92	139.62	107.84	0.37	1.62	24.94	4.85	
3.05	3.30	3.17	57.33	24.18	0.26	1.18	26.82	4.89	
3.30	3.55	3.42	38.27	5.32	0.18	0.86	26.98	4.92	
3.55	3.80	3.67	34.60	1.85	0.12	0.63	27.04	4.96	
3.80	4.05	3.92	33.81	1.00	0.10	0.46	27.26	4.99	
4.05	4.30	4.17	32.73	0.74	0.09	0.34	26.53	5.03	
4.30	4.55	4.42	32.76	0.53	0.10	0.25	26.82	5.06	
4.55	4.80	4.67	32.14	0.31	0.20	0.18	26.37	5.09	
4.80	5.05	4.92	32.15	0.15	0.31	0.13	26.43	5.12	
5.05	5.30	5.17	31.80	0.09	0.35	0.10	26.12	5.15	
5.30	5.55	5.42	31.59	0.07	0.42	0.06	25.86	5.18	
5.55	5.80	5.67	31.52	0.06	0.63	0.05	25.62	5.21	
5.80	6.05	5.92	31.19	0.06	0.97	0.04	24.92	5.24	
6.05	6.30	6.17	30.83	0.06	1.38	0.03	24.12	5.27	
6.30	6.55	6.42	30.13	0.06	1.61	0.02	23.17	5.29	
6.55	6.80	6.67	29.51	0.05	1.45	0.01	22.68	5.32	
6.80	7.05	6.92	27.68	0.05	1.01	0.01	21.28	5.34	
7.05	7.30	7.17	26.54	0.05	0.78	0.01	20.35	5.37	
7.30	12.00	9.65	256.15	0.83	1.22	0.02	149.20	104.90	

# Eight-ADs period:
# Emin	Emax	Ec	Nbkg	Nacc	Nalphan	Namc	Nlihe	Nfastn
0.70	1.30	1.00	9491.01	9133.01	26.17	172.74	80.60	78.49	
1.30	1.55	1.43	2722.43	2564.96	15.11	41.37	67.66	33.33	
1.55	1.80	1.68	2019.37	1853.08	12.97	30.22	89.43	33.67	
1.80	2.05	1.93	1205.09	1029.19	10.16	22.07	109.68	34.00	
2.05	2.30	2.17	747.83	559.16	7.42	16.12	130.82	34.31	
2.30	2.55	2.42	769.65	571.17	5.20	11.77	146.89	34.61	
2.55	2.80	2.67	1050.66	836.46	3.53	8.60	167.17	34.90	
2.80	3.05	2.92	898.91	674.14	2.38	6.28	180.93	35.18	
3.05	3.30	3.17	390.93	154.67	1.68	4.59	194.54	35.45	
3.30	3.55	3.42	268.63	32.72	1.16	3.35	195.69	35.72	
3.55	3.80	3.67	245.46	10.10	0.78	2.45	196.16	35.97	
3.80	4.05	3.92	240.74	4.37	0.62	1.79	197.74	36.22	
4.05	4.30	4.17	233.71	2.94	0.58	1.30	192.43	36.47	
4.30	4.55	4.42	234.93	2.08	0.66	0.95	194.53	36.70	
4.55	4.80	4.67	231.41	1.28	1.27	0.70	191.24	36.93	
4.80	5.05	4.92	232.09	0.72	1.97	0.51	191.74	37.15	
5.05	5.30	5.17	229.88	0.50	2.21	0.37	189.43	37.37	
5.30	5.55	5.42	228.50	0.42	2.66	0.22	187.61	37.59	
5.55	5.80	5.67	228.04	0.37	4.01	0.19	185.87	37.79	
5.80	6.05	5.92	225.32	0.34	6.19	0.14	180.79	38.00	
6.05	6.30	6.17	222.34	0.33	8.83	0.10	174.99	38.20	
6.30	6.55	6.42	217.07	0.33	10.28	0.07	168.07	38.39	
6.55	6.80	6.67	212.68	0.31	9.26	0.05	164.54	38.58	
6.80	7.05	6.92	199.85	0.29	6.47	0.04	154.33	38.76	
7.05	7.30	7.17	191.80	0.30	4.96	0.03	147.60	38.94	
7.30	12.00	9.65	1855.86	4.94	7.80	0.08	1082.20	760.92	

# Seven-ADs period:
# Emin	Emax	Ec	Nbkg	Nacc	Nalphan	Namc	Nlihe	Nfastn
0.70	1.30	1.00	652.70	630.02	1.46	9.41	5.98	5.83	
1.30	1.55	1.43	190.33	179.72	0.85	2.25	5.02	2.47	
1.55	1.80	1.68	142.62	131.10	0.74	1.65	6.64	2.50	
1.80	2.05	1.93	85.45	73.00	0.58	1.20	8.14	2.52	
2.05	2.30	2.17	53.63	40.06	0.42	0.88	9.71	2.55	
2.30	2.55	2.42	55.37	40.96	0.30	0.64	10.91	2.57	
2.55	2.80	2.67	74.95	59.28	0.20	0.47	12.41	2.59	
2.80	3.05	2.92	64.75	48.22	0.14	0.34	13.43	2.61	
3.05	3.30	3.17	28.75	11.32	0.10	0.25	14.44	2.63	
3.30	3.55	3.42	19.74	2.31	0.07	0.18	14.53	2.65	
3.55	3.80	3.67	18.09	0.68	0.05	0.13	14.57	2.67	
3.80	4.05	3.92	17.76	0.26	0.04	0.10	14.68	2.69	
4.05	4.30	4.17	17.26	0.16	0.03	0.07	14.29	2.71	
4.30	4.55	4.42	17.37	0.11	0.04	0.05	14.44	2.73	
4.55	4.80	4.67	17.13	0.08	0.07	0.04	14.20	2.74	
4.80	5.05	4.92	17.19	0.05	0.11	0.03	14.24	2.76	
5.05	5.30	5.17	17.03	0.04	0.13	0.02	14.07	2.78	
