# Reconstructed energy spectrum of the prompt signals from antineutrino
# candidate interactions in the detectors of Experimental Hall 1 (EH1)
#
# Emin:        Lower bin edge in prompt reconstructed energy [MeV]
# Emax:        Upper bin edge in prompt reconstructed energy [MeV]
# Ec:          Center of bin in prompt reconstructed energy [MeV]
# Nobs_xAD:    Total number of observed candidate events in the given energy bin in the x-ADs period, including backgrounds
# Npred_xAD:   Total predicted number of candidate events in the given energy bin, backgrounds subtracted, best fit everything

# Emin  Emax    Ec  	Nobs_6AD	Nobs_8AD	Nobs_7AD 		Npred_6AD	Npred_8AD		Npred_7AD
0.70	1.30	1.00	7357		52996		4333			6112.18		44642.24		3722.59
1.30	1.55	1.43	6801		49689		4128			6614.36		48330.10		4031.84
1.55	1.80	1.68	8862		65505		5487			8828.55		64506.11		5381.74
1.80	2.05	1.93	10689		78140		6432			10782.78	78810.74		6575.89
2.05	2.30	2.17	12012		88795		7419			12283.44	89747.29		7488.86
2.30	2.55	2.42	13356		98582		8122			13556.25	98952.62		8257.68
2.55	2.80	2.67	14018		102856		8714			14180.04	103466.30		8635.62
2.80	3.05	2.92	14113		103808		8737			14268.80	104085.60		8687.96
3.05	3.30	3.17	13861		102203		8331			14104.21	102827.28		8583.66
3.30	3.55	3.42	13278		96984		8094			13410.79	97734.71		8160.03
3.55	3.80	3.67	12215		89466		7681			12322.23	89739.21		7493.47
3.80	4.05	3.92	11170		80310		6712			11120.90	80904.50		6756.04
4.05	4.30	4.17	10184		73372		6047			10137.10	73671.72		6151.52
4.30	4.55	4.42	9402		67743		5623			9350.70		67912.06		5670.90
4.55	4.80	4.67	8406		61180		5165			8426.31		61180.96		5109.94
4.80	5.05	4.92	7325		53635		4500			7400.80		53713.95		4487.02
5.05	5.30	5.17	6304		46168		3900			6353.05		46059.53		3848.54
5.30	5.55	5.42	5279		38065		3223			5272.36		38165.58		3189.83
5.55	5.80	5.67	4280		30875		2573			4247.58		30718.45		2567.93
5.80	6.05	5.92	3312		24751		2013			3398.74		24574.53		2054.46
6.05	6.30	6.17	2736		19819		1625			2674.87		19337.21		1617.29
6.30	6.55	6.42	1973		14498		1196			1980.37		14311.68		1197.67
6.55	6.80	6.67	1369		10429		899			1401.22		10120.02		847.17
6.80	7.05	6.92	1028		7065		607			967.50		6979.45			584.45
7.05	7.30	7.17	657		4902		374			648.93		4675.96			391.69
7.30	12.00	9.65	1232		8673		754			952.35		6864.49			575.90

