# Reconstructed energy spectrum of the prompt signals from antineutrino
# candidate interactions in the detectors of Experimental Hall 2 (EH2)
#
# Emin:        Lower bin edge in prompt reconstructed energy [MeV]
# Emax:        Upper bin edge in prompt reconstructed energy [MeV]
# Ec:          Center of bin in prompt reconstructed energy [MeV]
# Nobs_xAD:    Total number of observed candidate events in the given energy bin in the x-ADs period, including backgrounds
# Npred_xAD:   Total predicted number of candidate events in the given energy bin, backgrounds subtracted, best fit everything

# Emin  Emax    Ec  	Nobs_6AD	Nobs_8AD	Nobs_7AD 	Npred_6AD	Npred_8AD		Npred_7AD
0.70	1.30	1.00	3279		47626		6935		2822.80		42018.05		6228.99
1.30	1.55	1.43	3095		46007		6708		3061.41		45547.78		6750.44
1.55	1.80	1.68	4112		59908		8986		4091.31		60865.38		9020.69
1.80	2.05	1.93	4854		73540		10848		5007.66		74493.29		11038.09
2.05	2.30	2.17	5537		83309		12276		5707.92		84897.49		12582.41
2.30	2.55	2.42	6174		91523		13543		6295.07		93606.00		13881.40
2.55	2.80	2.67	6451		96694		14504		6588.17		97937.79		14527.26
2.80	3.05	2.92	6561		97209		14472		6631.93		98571.33		14623.56
3.05	3.30	3.17	6566		95860		14193		6555.31		97412.33		14456.52
3.30	3.55	3.42	6181		91375		13613		6233.62		92601.06		13745.56
3.55	3.80	3.67	5609		83847		12178		5724.89		85013.72		12624.48
3.80	4.05	3.92	5145		75780		11266		5164.88		76674.81		11393.50
4.05	4.30	4.17	4588		69179		10311		4704.30		69829.44		10382.87
4.30	4.55	4.42	4260		63738		9453		4337.74		64372.94		9575.45
4.55	4.80	4.67	3903		57443		8627		3911.56		58024.52		8632.59
4.80	5.05	4.92	3258		50783		7473		3437.76		50976.27		7585.76
5.05	5.30	5.17	2978		43390		6480		2952.42		43752.18		6515.05
5.30	5.55	5.42	2475		36127		5424		2450.30		36283.31		5408.01
5.55	5.80	5.67	1984		28966		4377		1973.89		29212.01		4356.56
5.80	6.05	5.92	1557		23505		3418		1578.82		23360.44		3484.30
6.05	6.30	6.17	1232		18400		2729		1243.88		18392.80		2743.60
6.30	6.55	6.42	988		13643		2077		922.85		13633.06		2033.97
6.55	6.80	6.67	631		9701		1514		653.81		9652.21			1440.55
6.80	7.05	6.92	436		6737		1037		451.85		6666.05			995.57
7.05	7.30	7.17	311		4672		677		303.27		4470.94			668.17
7.30	12.00	9.65	504		7968		1189		448.03		6587.70			983.97

